"data","memoria","cpu"
"01/20/2021 12:39:56","81.3","6.4"
"01/20/2021 12:40:26","81.3","3.6"
"01/20/2021 12:40:56","81.5","6.3"
"01/20/2021 12:41:26","81.2","3.7"
"01/20/2021 12:41:56","81.4","6.0"
"01/20/2021 12:42:26","81.3","3.9"
"01/20/2021 12:42:56","81.3","5.8"
"01/20/2021 12:43:26","81.3","3.5"
"01/20/2021 12:43:56","81.3","5.6"
"01/20/2021 12:44:26","81.3","3.8"
"01/20/2021 12:44:56","81.9","5.0"
"01/20/2021 12:45:26","81.3","5.1"
"01/20/2021 12:45:56","81.7","4.3"
"01/20/2021 12:46:26","81.3","5.8"
"01/20/2021 12:46:56","81.3","3.8"
"01/20/2021 12:47:26","81.4","6.0"
"01/20/2021 12:47:56","81.3","3.6"
"01/20/2021 12:48:26","81.3","6.1"
"01/20/2021 12:48:56","81.3","3.9"
"01/20/2021 12:49:26","81.4","5.8"
"01/20/2021 12:49:56","81.4","3.6"
"01/20/2021 12:50:26","81.3","5.9"
"01/20/2021 12:50:56","81.8","4.2"
"01/20/2021 12:51:26","81.4","7.7"
"01/20/2021 12:51:56","81.5","4.0"
"01/20/2021 12:52:26","81.5","6.3"
"01/20/2021 12:52:56","81.5","5.2"
"01/20/2021 12:53:26","81.4","8.0"
"01/20/2021 12:53:56","81.4","3.9"
"01/20/2021 12:54:26","81.6","6.1"
"01/20/2021 12:54:57","81.4","3.9"
"01/20/2021 12:55:27","81.5","6.0"
"01/20/2021 12:55:57","81.9","5.7"
"01/20/2021 12:56:27","81.5","7.0"
"01/20/2021 12:56:57","81.4","4.9"
"01/20/2021 12:57:27","81.6","4.8"
"01/20/2021 12:57:57","81.4","5.3"
"01/20/2021 12:58:27","81.3","3.8"
"01/20/2021 12:58:57","81.4","5.9"
"01/20/2021 12:59:27","81.4","4.1"
"01/20/2021 12:59:57","81.4","5.8"
"01/20/2021 13:00:27","81.3","3.8"
"01/20/2021 13:00:57","81.6","6.2"
"01/20/2021 13:01:27","81.4","3.6"
"01/20/2021 13:01:57","81.4","5.8"
"01/20/2021 13:02:27","81.4","3.7"
"01/20/2021 13:02:57","81.3","6.5"
"01/20/2021 13:03:27","81.3","3.7"
"01/20/2021 13:03:57","81.4","5.6"
"01/20/2021 13:04:27","81.4","4.7"
"01/20/2021 13:04:57","81.3","6.4"
"01/20/2021 13:05:27","81.4","3.8"
"01/20/2021 13:05:57","81.8","6.6"
"01/20/2021 13:06:27","81.4","4.5"
"01/20/2021 13:06:57","81.3","5.8"
"01/20/2021 13:07:27","81.4","4.5"
"01/20/2021 13:07:57","81.5","6.8"
"01/20/2021 13:08:27","81.4","4.6"
"01/20/2021 13:08:57","82.3","5.2"
"01/20/2021 13:09:27","81.5","5.5"
"01/20/2021 13:09:57","81.7","4.5"
"01/20/2021 13:10:27","81.6","5.9"
"01/20/2021 13:10:57","81.8","4.1"
"01/20/2021 13:11:27","81.5","5.8"
"01/20/2021 13:11:57","81.5","4.4"
"01/20/2021 13:12:27","81.4","6.0"
"01/20/2021 13:12:57","81.4","3.5"
"01/20/2021 13:13:27","81.4","6.7"
"01/20/2021 13:13:58","81.5","4.1"
"01/20/2021 13:14:28","81.4","5.9"
"01/20/2021 13:14:58","81.6","3.7"
"01/20/2021 13:15:28","81.5","6.3"
"01/20/2021 13:15:58","81.8","6.3"
"01/20/2021 13:16:28","81.4","5.9"
"01/20/2021 13:16:58","81.4","3.5"
"01/20/2021 13:17:28","81.4","5.9"
"01/20/2021 13:17:58","81.5","3.8"
"01/20/2021 13:18:28","81.5","5.7"
"01/20/2021 13:18:58","81.5","4.7"
"01/20/2021 13:19:28","81.6","5.6"
"01/20/2021 13:19:58","81.5","3.8"
"01/20/2021 13:20:28","81.5","5.6"
"01/20/2021 13:20:58","81.7","4.2"
"01/20/2021 13:21:28","82.0","4.7"
"01/20/2021 13:21:58","81.7","4.9"
"01/20/2021 13:22:28","81.6","4.4"
"01/20/2021 13:22:58","81.6","6.2"
"01/20/2021 13:23:28","81.6","4.8"
"01/20/2021 13:23:58","81.5","6.1"
"01/20/2021 13:24:28","81.5","3.9"
"01/20/2021 13:24:58","81.5","6.4"
"01/20/2021 13:25:28","81.5","4.1"
"01/20/2021 13:25:58","82.1","8.6"
"01/20/2021 13:26:28","81.4","3.9"
"01/20/2021 13:26:58","81.4","5.7"
"01/20/2021 13:27:28","81.5","3.7"
"01/20/2021 13:27:58","81.4","5.7"
"01/20/2021 13:28:28","82.0","20.7"
"01/20/2021 13:28:58","81.7","16.8"
"01/20/2021 13:29:28","81.8","9.7"
"01/20/2021 13:29:58","76.5","22.4"
"01/20/2021 13:30:28","80.1","42.3"
"01/20/2021 13:30:58","79.4","23.3"
"01/20/2021 13:31:28","77.5","35.5"
"01/20/2021 13:31:58","79.1","28.4"
"01/20/2021 13:32:29","78.7","18.3"
"01/20/2021 13:32:59","78.2","6.2"
"01/20/2021 13:33:29","78.1","7.4"
"01/20/2021 13:33:59","78.1","4.7"
"01/20/2021 13:34:29","78.1","7.2"
"01/20/2021 13:34:59","77.8","6.4"
"01/20/2021 13:35:29","78.1","14.1"
"01/20/2021 13:35:59","78.2","7.6"
"01/20/2021 13:36:29","78.7","13.7"
"01/20/2021 13:36:59","78.6","6.4"
"01/20/2021 13:37:29","78.6","8.0"
"01/20/2021 13:37:59","78.4","5.3"
"01/20/2021 13:38:29","78.4","6.4"
"01/20/2021 13:38:59","78.6","4.3"
"01/20/2021 13:39:29","78.1","7.8"
"01/20/2021 13:39:59","78.1","6.0"
"01/20/2021 13:40:29","78.2","7.0"
"01/20/2021 13:40:59","78.5","6.9"
"01/20/2021 13:41:29","78.9","6.8"
"01/20/2021 13:41:59","78.1","4.9"
"01/20/2021 13:42:29","78.1","3.9"
"01/20/2021 13:42:59","78.4","9.5"
"01/20/2021 13:43:29","78.1","6.5"
"01/20/2021 13:43:59","78.0","6.5"
"01/20/2021 13:44:29","78.1","4.2"
"01/20/2021 13:44:59","78.1","5.7"
"01/20/2021 13:45:29","78.2","5.5"
"01/20/2021 13:45:59","78.5","9.5"
"01/20/2021 13:46:29","78.1","7.5"
"01/20/2021 13:46:59","78.4","14.6"
"01/20/2021 13:47:29","78.3","8.3"
"01/20/2021 13:47:59","78.2","10.4"
"01/20/2021 13:48:29","78.4","10.7"
"01/20/2021 13:48:59","78.1","15.0"
"01/20/2021 13:49:29","78.5","19.3"
"01/20/2021 13:49:59","80.9","16.4"
"01/20/2021 13:50:29","78.6","10.6"
"01/20/2021 13:51:00","78.7","9.8"
"01/20/2021 13:51:30","83.8","18.9"
"01/20/2021 13:52:00","84.5","16.5"
"01/20/2021 13:52:30","84.3","15.1"
"01/20/2021 13:53:00","85.1","17.2"
"01/20/2021 13:53:30","85.4","13.0"
"01/20/2021 13:54:00","84.7","8.5"
"01/20/2021 13:54:30","83.9","8.0"
"01/20/2021 13:55:00","83.5","11.3"
"01/20/2021 13:55:30","83.5","7.0"
"01/20/2021 13:56:00","84.6","9.8"
"01/20/2021 13:56:30","83.4","10.7"
"01/20/2021 13:57:00","83.6","12.1"
"01/20/2021 13:57:30","83.7","12.0"
"01/20/2021 13:58:00","83.9","16.9"
"01/20/2021 13:58:30","83.8","16.7"
"01/20/2021 13:59:00","84.0","12.9"
"01/20/2021 13:59:30","84.0","12.7"
"01/20/2021 14:00:00","84.3","18.5"
"01/20/2021 14:00:30","84.0","9.4"
"01/20/2021 14:01:01","83.8","12.6"
"01/20/2021 14:01:31","84.1","20.3"
"01/20/2021 14:02:01","84.1","9.9"
"01/20/2021 14:02:31","84.5","15.6"
"01/20/2021 14:03:01","84.5","16.6"
"01/20/2021 14:03:31","85.6","21.2"
"01/20/2021 14:04:01","84.7","10.2"
"01/20/2021 14:04:31","84.8","6.1"
"01/20/2021 14:05:01","84.8","6.4"
"01/20/2021 14:05:31","84.9","4.8"
"01/20/2021 14:06:01","85.0","6.7"
"01/20/2021 14:06:31","84.8","10.2"
"01/20/2021 14:07:01","84.6","7.2"
"01/20/2021 14:07:31","84.6","8.9"
"01/20/2021 14:08:01","84.5","6.8"
"01/20/2021 14:08:31","84.5","4.5"
"01/20/2021 14:09:01","84.6","7.7"
"01/20/2021 14:09:31","84.5","4.7"
"01/20/2021 14:10:01","84.6","7.1"
"01/20/2021 14:10:31","85.0","5.0"
"01/20/2021 14:11:01","85.0","9.7"
"01/20/2021 14:11:31","84.5","5.0"
"01/20/2021 14:12:01","84.6","9.0"
"01/20/2021 14:12:31","84.6","4.4"
"01/20/2021 14:13:01","84.6","6.6"
"01/20/2021 14:13:31","84.5","4.7"
"01/20/2021 14:14:01","84.5","6.0"
"01/20/2021 14:14:31","84.6","4.5"
"01/20/2021 14:15:01","84.7","5.9"
"01/20/2021 14:15:31","85.1","5.2"
"01/20/2021 14:16:01","85.1","6.0"
"01/20/2021 14:16:31","84.7","6.4"
"01/20/2021 14:17:01","84.7","4.2"
"01/20/2021 14:17:31","84.6","6.9"
"01/20/2021 14:18:01","84.6","4.2"
"01/20/2021 14:18:31","84.7","6.6"
